ID операции;Дата;Адрес магазина;Район магазина;Артикул;Название товара;Отдел товара;Количество упаковок, шт.;Операция;Цена руб./шт.
31;01.06.2021;просп. Мира, 45;Октябрьский;34;Мука блинная;Бакалея;180;Поступление;65
32;01.06.2021;просп. Мира, 45;Октябрьский;34;Мука блинная;Бакалея;53;Продажа;65
33;01.06.2021;просп. Мира, 45;Октябрьский;44;Чай черный индийский;Бакалея;170;Поступление;180
34;01.06.2021;просп. Мира, 45;Октябрьский;44;Чай черный индийский;Бакалея;80;Продажа;180
35;01.06.2021;просп. Мира, 45;Октябрьский;45;Чай зеленый ;Бакалея;180;Поступление;170
36;01.06.2021;просп. Мира, 45;Октябрьский;45;Чай зеленый ;Бакалея;53;Продажа;170
37;01.06.2021;просп. Мира, 45;Октябрьский;46;Кофе растворимый;Бакалея;180;Поступление;330
38;01.06.2021;просп. Мира, 45;Октябрьский;46;Кофе растворимый;Бакалея;106;Продажа;330
39;01.06.2021;просп. Мира, 45;Октябрьский;47;Кофе в зернах ;Бакалея;180;Поступление;370
40;01.06.2021;просп. Мира, 45;Октябрьский;47;Кофе в зернах ;Бакалея;32;Продажа;370
41;01.06.2021;просп. Мира, 45;Октябрьский;48;Кофе молотый;Бакалея;180;Поступление;180
42;01.06.2021;просп. Мира, 45;Октябрьский;48;Кофе молотый;Бакалея;80;Продажа;180
43;01.06.2021;пл. Революции, 1;Октябрьский;4;Кефир 3,2%;Молоко;170;Поступление;75
44;01.06.2021;пл. Революции, 1;Октябрьский;4;Кефир 3,2%;Молоко;180;Продажа;75
45;01.06.2021;пл. Революции, 1;Октябрьский;5;Кефир обезжиренный;Молоко;180;Поступление;70
46;01.06.2021;пл. Революции, 1;Октябрьский;5;Кефир обезжиренный;Молоко;180;Продажа;70
47;01.06.2021;пл. Революции, 1;Октябрьский;6;Ряженка термостатная;Молоко;180;Поступление;50
48;01.06.2021;пл. Революции, 1;Октябрьский;6;Ряженка термостатная;Молоко;165;Продажа;50
49;01.06.2021;пл. Революции, 1;Октябрьский;9;Сметана 15%;Молоко;170;Поступление;55
50;01.06.2021;пл. Революции, 1;Октябрьский;9;Сметана 15%;Молоко;150;Продажа;55
51;01.06.2021;пл. Революции, 1;Октябрьский;10;Сметана 25%;Молоко;180;Поступление;70
52;01.06.2021;пл. Революции, 1;Октябрьский;10;Сметана 25%;Молоко;150;Продажа;70
53;01.06.2021;пл. Революции, 1;Октябрьский;13;Творог 9% жирности;Молоко;180;Поступление;60
54;01.06.2021;пл. Революции, 1;Октябрьский;13;Творог 9% жирности;Молоко;120;Продажа;60
55;01.06.2021;пл. Революции, 1;Октябрьский;18;Крупа манная;Бакалея;180;Поступление;49
56;01.06.2021;пл. Революции, 1;Октябрьский;18;Крупа манная;Бакалея;80;Продажа;49
57;01.06.2021;пл. Революции, 1;Октябрьский;24;Макароны спагетти ;Бакалея;180;Поступление;50
58;01.06.2021;пл. Революции, 1;Октябрьский;24;Макароны спагетти ;Бакалея;159;Продажа;50
59;01.06.2021;пл. Революции, 1;Октябрьский;25;Макароны вермишель;Бакалея;170;Поступление;52
60;01.06.2021;пл. Революции, 1;Октябрьский;25;Макароны вермишель;Бакалея;159;Продажа;52
61;01.06.2021;пл. Революции, 1;Октябрьский;26;Макароны рожки;Бакалея;180;Поступление;47
62;01.06.2021;пл. Революции, 1;Октябрьский;26;Макароны рожки;Бакалея;159;Продажа;47
63;01.06.2021;пл. Революции, 1;Октябрьский;27;Макароны перья;Бакалея;180;Поступление;45
64;01.06.2021;пл. Революции, 1;Октябрьский;27;Макароны перья;Бакалея;159;Продажа;45
65;01.06.2021;пл. Революции, 1;Октябрьский;28;Сахар песок белый;Бакалея;170;Поступление;38
66;01.06.2021;пл. Революции, 1;Октябрьский;28;Сахар песок белый;Бакалея;133;Продажа;38
67;01.06.2021;пл. Революции, 1;Октябрьский;29;Сахар демерара коричневый;Бакалея;180;Поступление;85
68;01.06.2021;пл. Революции, 1;Октябрьский;29;Сахар демерара коричневый;Бакалея;27;Продажа;85
69;01.06.2021;пл. Революции, 1;Октябрьский;30;Сахар рафинад быстрорастворимый;Бакалея;180;Поступление;44
70;01.06.2021;пл. Революции, 1;Октябрьский;30;Сахар рафинад быстрорастворимый;Бакалея;106;Продажа;44
71;01.06.2021;пл. Революции, 1;Октябрьский;33;Мука хлебопекарная в\с;Бакалея;180;Поступление;50
72;01.06.2021;пл. Революции, 1;Октябрьский;33;Мука хлебопекарная в\с;Бакалея;106;Продажа;50
73;01.06.2021;пл. Революции, 1;Октябрьский;34;Мука блинная;Бакалея;180;Поступление;65
74;01.06.2021;пл. Революции, 1;Октябрьский;34;Мука блинная;Бакалея;53;Продажа;65
75;01.06.2021;пл. Революции, 1;Октябрьский;44;Чай черный индийский;Бакалея;170;Поступление;180
76;01.06.2021;пл. Революции, 1;Октябрьский;44;Чай черный индийский;Бакалея;80;Продажа;180
77;01.06.2021;пл. Революции, 1;Октябрьский;45;Чай зеленый ;Бакалея;180;Поступление;170
78;01.06.2021;пл. Революции, 1;Октябрьский;45;Чай зеленый ;Бакалея;53;Продажа;170
79;01.06.2021;пл. Революции, 1;Октябрьский;46;Кофе растворимый;Бакалея;180;Поступление;330
80;01.06.2021;пл. Революции, 1;Октябрьский;46;Кофе растворимый;Бакалея;106;Продажа;330
81;01.06.2021;пл. Революции, 1;Октябрьский;47;Кофе в зернах ;Бакалея;170;Поступление;370
82;01.06.2021;пл. Революции, 1;Октябрьский;47;Кофе в зернах ;Бакалея;32;Продажа;370
83;01.06.2021;пл. Революции, 1;Октябрьский;48;Кофе молотый;Бакалея;180;Поступление;180
84;01.06.2021;пл. Революции, 1;Октябрьский;48;Кофе молотый;Бакалея;80;Продажа;180
85;01.06.2021;Луговая, 21;Заречный;4;Кефир 3,2%;Молоко;180;Поступление;75
86;01.06.2021;Луговая, 21;Заречный;4;Кефир 3,2%;Молоко;115;Продажа;75
87;01.06.2021;Луговая, 21;Заречный;5;Кефир обезжиренный;Молоко;180;Поступление;70
88;01.06.2021;Луговая, 21;Заречный;5;Кефир обезжиренный;Молоко;60;Продажа;70
89;01.06.2021;Луговая, 21;Заречный;6;Ряженка термостатная;Молоко;180;Поступление;50
90;01.06.2021;Луговая, 21;Заречный;6;Ряженка термостатная;Молоко;72;Продажа;50
91;01.06.2021;Луговая, 21;Заречный;9;Сметана 15%;Молоко;170;Поступление;55
92;01.06.2021;Луговая, 21;Заречный;9;Сметана 15%;Молоко;90;Продажа;55
93;01.06.2021;Луговая, 21;Заречный;10;Сметана 25%;Молоко;180;Поступление;70
94;01.06.2021;Луговая, 21;Заречный;10;Сметана 25%;Молоко;90;Продажа;70
95;01.06.2021;Луговая, 21;Заречный;13;Творог 9% жирности;Молоко;180;Поступление;60
96;01.06.2021;Луговая, 21;Заречный;13;Творог 9% жирности;Молоко;80;Продажа;60
97;01.06.2021;Луговая, 21;Заречный;18;Крупа манная;Бакалея;170;Поступление;49
98;01.06.2021;Луговая, 21;Заречный;18;Крупа манная;Бакалея;56;Продажа;49
99;01.06.2021;Луговая, 21;Заречный;24;Макароны спагетти ;Бакалея;180;Поступление;50
100;01.06.2021;Луговая, 21;Заречный;24;Макароны спагетти ;Бакалея;111;Продажа;50
101;01.06.2021;Луговая, 21;Заречный;25;Макароны вермишель;Бакалея;180;Поступление;52
102;01.06.2021;Луговая, 21;Заречный;25;Макароны вермишель;Бакалея;109;Продажа;52
103;01.06.2021;Луговая, 21;Заречный;26;Макароны рожки;Бакалея;180;Поступление;47
104;01.06.2021;Луговая, 21;Заречный;26;Макароны рожки;Бакалея;114;Продажа;47
105;01.06.2021;Луговая, 21;Заречный;27;Макароны перья;Бакалея;180;Поступление;45
106;01.06.2021;Луговая, 21;Заречный;27;Макароны перья;Бакалея;112;Продажа;45
107;01.06.2021;Луговая, 21;Заречный;28;Сахар песок белый;Бакалея;170;Поступление;38
108;01.06.2021;Луговая, 21;Заречный;28;Сахар песок белый;Бакалея;93;Продажа;38
109;01.06.2021;Луговая, 21;Заречный;29;Сахар демерара коричневый;Бакалея;180;Поступление;85
110;01.06.2021;Луговая, 21;Заречный;29;Сахар демерара коричневый;Бакалея;19;Продажа;85
111;01.06.2021;Луговая, 21;Заречный;30;Сахар рафинад быстрорастворимый;Бакалея;180;Поступление;44
112;01.06.2021;Луговая, 21;Заречный;30;Сахар рафинад быстрорастворимый;Бакалея;74;Продажа;44
113;01.06.2021;Луговая, 21;Заречный;33;Мука хлебопекарная в\с;Бакалея;170;Поступление;50
114;01.06.2021;Луговая, 21;Заречный;33;Мука хлебопекарная в\с;Бакалея;74;Продажа;50
115;01.06.2021;Луговая, 21;Заречный;34;Мука блинная;Бакалея;180;Поступление;65
116;01.06.2021;Луговая, 21;Заречный;34;Мука блинная;Бакалея;37;Продажа;65
117;01.06.2021;Луговая, 21;Заречный;44;Чай черный индийский;Бакалея;180;Поступление;180
118;01.06.2021;Луговая, 21;Заречный;44;Чай черный индийский;Бакалея;56;Продажа;180
119;01.06.2021;Луговая, 21;Заречный;45;Чай зеленый ;Бакалея;180;Поступление;170
120;01.06.2021;Луговая, 21;Заречный;45;Чай зеленый ;Бакалея;37;Продажа;170
121;01.06.2021;Луговая, 21;Заречный;46;Кофе растворимый;Бакалея;180;Поступление;330
122;01.06.2021;Луговая, 21;Заречный;46;Кофе растворимый;Бакалея;74;Продажа;330
123;01.06.2021;Луговая, 21;Заречный;47;Кофе в зернах ;Бакалея;170;Поступление;370
124;01.06.2021;Луговая, 21;Заречный;47;Кофе в зернах ;Бакалея;23;Продажа;370
125;01.06.2021;Луговая, 21;Заречный;48;Кофе молотый;Бакалея;180;Поступление;180
126;01.06.2021;Луговая, 21;Заречный;48;Кофе молотый;Бакалея;56;Продажа;180
127;01.06.2021;Мартеновская, 2;Первомайский;4;Кефир 3,2%;Молоко;180;Поступление;75
128;01.06.2021;Мартеновская, 2;Первомайский;4;Кефир 3,2%;Молоко;170;Продажа;75
129;01.06.2021;Мартеновская, 2;Первомайский;5;Кефир обезжиренный;Молоко;170;Поступление;70
130;01.06.2021;Мартеновская, 2;Первомайский;5;Кефир обезжиренный;Молоко;120;Продажа;70
131;01.06.2021;Мартеновская, 2;Первомайский;6;Ряженка термостатная;Молоко;180;Поступление;50
132;01.06.2021;Мартеновская, 2;Первомайский;6;Ряженка термостатная;Молоко;90;Продажа;50
133;01.06.2021;Мартеновская, 2;Первомайский;9;Сметана 15%;Молоко;180;Поступление;55
134;01.06.2021;Мартеновская, 2;Первомайский;9;Сметана 15%;Молоко;150;Продажа;55
135;01.06.2021;Мартеновская, 2;Первомайский;10;Сметана 25%;Молоко;180;Поступление;70
136;01.06.2021;Мартеновская, 2;Первомайский;10;Сметана 25%;Молоко;90;Продажа;70
137;01.06.2021;Мартеновская, 2;Первомайский;13;Творог 9% жирности;Молоко;180;Поступление;60
138;01.06.2021;Мартеновская, 2;Первомайский;13;Творог 9% жирности;Молоко;100;Продажа;60
139;01.06.2021;Мартеновская, 2;Первомайский;18;Крупа манная;Бакалея;170;Поступление;49
140;01.06.2021;Мартеновская, 2;Первомайский;18;Крупа манная;Бакалея;60;Продажа;49
141;01.06.2021;Мартеновская, 2;Первомайский;24;Макароны спагетти ;Бакалея;180;Поступление;50
142;01.06.2021;Мартеновская, 2;Первомайский;24;Макароны спагетти ;Бакалея;120;Продажа;50
143;01.06.2021;Мартеновская, 2;Первомайский;25;Макароны вермишель;Бакалея;180;Поступление;52
144;01.06.2021;Мартеновская, 2;Первомайский;25;Макароны вермишель;Бакалея;120;Продажа;52
145;01.06.2021;Мартеновская, 2;Первомайский;26;Макароны рожки;Бакалея;170;Поступление;47
146;01.06.2021;Мартеновская, 2;Первомайский;26;Макароны рожки;Бакалея;120;Продажа;47
147;01.06.2021;Мартеновская, 2;Первомайский;27;Макароны перья;Бакалея;180;Поступление;45
148;01.06.2021;Мартеновская, 2;Первомайский;27;Макароны перья;Бакалея;120;Продажа;45
149;01.06.2021;Мартеновская, 2;Первомайский;28;Сахар песок белый;Бакалея;180;Поступление;38
150;01.06.2021;Мартеновская, 2;Первомайский;28;Сахар песок белый;Бакалея;100;Продажа;38
151;01.06.2021;Мартеновская, 2;Первомайский;29;Сахар демерара коричневый;Бакалея;180;Поступление;85
152;01.06.2021;Мартеновская, 2;Первомайский;29;Сахар демерара коричневый;Бакалея;20;Продажа;85
153;01.06.2021;Мартеновская, 2;Первомайский;30;Сахар рафинад быстрорастворимый;Бакалея;180;Поступление;44
154;01.06.2021;Мартеновская, 2;Первомайский;30;Сахар рафинад быстрорастворимый;Бакалея;80;Продажа;44
155;01.06.2021;Мартеновская, 2;Первомайский;33;Мука хлебопекарная в\с;Бакалея;170;Поступление;50
156;01.06.2021;Мартеновская, 2;Первомайский;33;Мука хлебопекарная в\с;Бакалея;80;Продажа;50
157;01.06.2021;Мартеновская, 2;Первомайский;34;Мука блинная;Бакалея;180;Поступление;65
158;01.06.2021;Мартеновская, 2;Первомайский;34;Мука блинная;Бакалея;40;Продажа;65
159;01.06.2021;Мартеновская, 2;Первомайский;44;Чай черный индийский;Бакалея;180;Поступление;180
160;01.06.2021;Мартеновская, 2;Первомайский;44;Чай черный индийский;Бакалея;60;Продажа;180
161;01.06.2021;Мартеновская, 2;Первомайский;45;Чай зеленый ;Бакалея;170;Поступление;170
162;01.06.2021;Мартеновская, 2;Первомайский;45;Чай зеленый ;Бакалея;40;Продажа;170
163;01.06.2021;Мартеновская, 2;Первомайский;46;Кофе растворимый;Бакалея;180;Поступление;330
164;01.06.2021;Мартеновская, 2;Первомайский;46;Кофе растворимый;Бакалея;80;Продажа;330
165;01.06.2021;Мартеновская, 2;Первомайский;47;Кофе в зернах ;Бакалея;180;Поступление;370
166;01.06.2021;Мартеновская, 2;Первомайский;47;Кофе в зернах ;Бакалея;24;Продажа;370
167;01.06.2021;Мартеновская, 2;Первомайский;48;Кофе молотый;Бакалея;180;Поступление;180
168;01.06.2021;Мартеновская, 2;Первомайский;48;Кофе молотый;Бакалея;60;Продажа;180
169;01.06.2021;Мартеновская, 36;Первомайский;4;Кефир 3,2%;Молоко;180;Поступление;75
170;01.06.2021;Мартеновская, 36;Первомайский;4;Кефир 3,2%;Молоко;180;Продажа;75
171;01.06.2021;Мартеновская, 36;Первомайский;5;Кефир обезжиренный;Молоко;170;Поступление;70
172;01.06.2021;Мартеновская, 36;Первомайский;5;Кефир обезжиренный;Молоко;110;Продажа;70
173;01.06.2021;Мартеновская, 36;Первомайский;6;Ряженка термостатная;Молоко;180;Поступление;50
174;01.06.2021;Мартеновская, 36;Первомайский;6;Ряженка термостатная;Молоко;90;Продажа;50
175;01.06.2021;Мартеновская, 36;Первомайский;9;Сметана 15%;Молоко;180;Поступление;55
176;01.06.2021;Мартеновская, 36;Первомайский;9;Сметана 15%;Молоко;150;Продажа;55
177;01.06.2021;Мартеновская, 36;Первомайский;10;Сметана 25%;Молоко;170;Поступление;70
178;01.06.2021;Мартеновская, 36;Первомайский;10;Сметана 25%;Молоко;90;Продажа;70
179;01.06.2021;Мартеновская, 36;Первомайский;13;Творог 9% жирности;Молоко;180;Поступление;60
180;01.06.2021;Мартеновская, 36;Первомайский;13;Творог 9% жирности;Молоко;100;Продажа;60
181;01.06.2021;Мартеновская, 36;Первомайский;18;Крупа манная;Бакалея;180;Поступление;49
182;01.06.2021;Мартеновская, 36;Первомайский;18;Крупа манная;Бакалея;60;Продажа;49
183;01.06.2021;Мартеновская, 36;Первомайский;24;Макароны спагетти ;Бакалея;180;Поступление;50
184;01.06.2021;Мартеновская, 36;Первомайский;24;Макароны спагетти ;Бакалея;120;Продажа;50
185;01.06.2021;Мартеновская, 36;Первомайский;25;Макароны вермишель;Бакалея;180;Поступление;52
186;01.06.2021;Мартеновская, 36;Первомайский;25;Макароны вермишель;Бакалея;120;Продажа;52
187;01.06.2021;Мартеновская, 36;Первомайский;26;Макароны рожки;Бакалея;170;Поступление;47
188;01.06.2021;Мартеновская, 36;Первомайский;26;Макароны рожки;Бакалея;120;Продажа;47
189;01.06.2021;Мартеновская, 36;Первомайский;27;Макароны перья;Бакалея;180;Поступление;45
190;01.06.2021;Мартеновская, 36;Первомайский;27;Макароны перья;Бакалея;120;Продажа;45
191;01.06.2021;Мартеновская, 36;Первомайский;28;Сахар песок белый;Бакалея;180;Поступление;38
192;01.06.2021;Мартеновская, 36;Первомайский;28;Сахар песок белый;Бакалея;100;Продажа;38
193;01.06.2021;Мартеновская, 36;Первомайский;29;Сахар демерара коричневый;Бакалея;170;Поступление;85
194;01.06.2021;Мартеновская, 36;Первомайский;29;Сахар демерара коричневый;Бакалея;20;Продажа;85
195;01.06.2021;Мартеновская, 36;Первомайский;30;Сахар рафинад быстрорастворимый;Бакалея;180;Поступление;44
196;01.06.2021;Мартеновская, 36;Первомайский;30;Сахар рафинад быстрорастворимый;Бакалея;80;Продажа;44
197;01.06.2021;Мартеновская, 36;Первомайский;33;Мука хлебопекарная в\с;Бакалея;180;Поступление;50
198;01.06.2021;Мартеновская, 36;Первомайский;33;Мука хлебопекарная в\с;Бакалея;80;Продажа;50
199;01.06.2021;Мартеновская, 36;Первомайский;34;Мука блинная;Бакалея;180;Поступление;65
200;01.06.2021;Мартеновская, 36;Первомайский;34;Мука блинная;Бакалея;40;Продажа;65
201;01.06.2021;Мартеновская, 36;Первомайский;44;Чай черный индийский;Бакалея;180;Поступление;180
202;01.06.2021;Мартеновская, 36;Первомайский;44;Чай черный индийский;Бакалея;60;Продажа;180
203;01.06.2021;Мартеновская, 36;Первомайский;45;Чай зеленый ;Бакалея;170;Поступление;170
204;01.06.2021;Мартеновская, 36;Первомайский;45;Чай зеленый ;Бакалея;40;Продажа;170
205;01.06.2021;Мартеновская, 36;Первомайский;46;Кофе растворимый;Бакалея;180;Поступление;330
206;01.06.2021;Мартеновская, 36;Первомайский;46;Кофе растворимый;Бакалея;80;Продажа;330
207;01.06.2021;Мартеновская, 36;Первомайский;47;Кофе в зернах ;Бакалея;180;Поступление;370
208;01.06.2021;Мартеновская, 36;Первомайский;47;Кофе в зернах ;Бакалея;24;Продажа;370
209;01.06.2021;Мартеновская, 36;Первомайский;48;Кофе молотый;Бакалея;170;Поступление;180
210;01.06.2021;Мартеновская, 36;Первомайский;48;Кофе молотый;Бакалея;60;Продажа;180
211;01.06.2021;Элеваторная, 15;Заречный;4;Кефир 3,2%;Молоко;180;Поступление;75
212;01.06.2021;Элеваторная, 15;Заречный;4;Кефир 3,2%;Молоко;120;Продажа;75
213;01.06.2021;Элеваторная, 15;Заречный;5;Кефир обезжиренный;Молоко;180;Поступление;70
214;01.06.2021;Элеваторная, 15;Заречный;5;Кефир обезжиренный;Молоко;49;Продажа;70
215;01.06.2021;Элеваторная, 15;Заречный;6;Ряженка термостатная;Молоко;180;Поступление;50
216;01.06.2021;Элеваторная, 15;Заречный;6;Ряженка термостатная;Молоко;72;Продажа;50
217;01.06.2021;Элеваторная, 15;Заречный;9;Сметана 15%;Молоко;180;Поступление;55
218;01.06.2021;Элеваторная, 15;Заречный;9;Сметана 15%;Молоко;90;Продажа;55
219;01.06.2021;Элеваторная, 15;Заречный;10;Сметана 25%;Молоко;170;Поступление;70
220;01.06.2021;Элеваторная, 15;Заречный;10;Сметана 25%;Молоко;90;Продажа;70
221;01.06.2021;Элеваторная, 15;Заречный;13;Творог 9% жирности;Молоко;180;Поступление;60
222;01.06.2021;Элеваторная, 15;Заречный;13;Творог 9% жирности;Молоко;80;Продажа;60
223;01.06.2021;Элеваторная, 15;Заречный;18;Крупа манная;Бакалея;180;Поступление;49
224;01.06.2021;Элеваторная, 15;Заречный;18;Крупа манная;Бакалея;57;Продажа;49
225;01.06.2021;Элеваторная, 15;Заречный;24;Макароны спагетти ;Бакалея;170;Поступление;50
226;01.06.2021;Элеваторная, 15;Заречный;24;Макароны спагетти ;Бакалея;108;Продажа;50
227;01.06.2021;Элеваторная, 15;Заречный;25;Макароны вермишель;Бакалея;180;Поступление;52
228;01.06.2021;Элеваторная, 15;Заречный;25;Макароны вермишель;Бакалея;115;Продажа;52
229;01.06.2021;Элеваторная, 15;Заречный;26;Макароны рожки;Бакалея;180;Поступление;47
230;01.06.2021;Элеваторная, 15;Заречный;26;Макароны рожки;Бакалея;116;Продажа;47
231;01.06.2021;Элеваторная, 15;Заречный;27;Макароны перья;Бакалея;180;Поступление;45
232;01.06.2021;Элеваторная, 15;Заречный;27;Макароны перья;Бакалея;105;Продажа;45
233;01.06.2021;Элеваторная, 15;Заречный;28;Сахар песок белый;Бакалея;180;Поступление;38
234;01.06.2021;Элеваторная, 15;Заречный;28;Сахар песок белый;Бакалея;93;Продажа;38
235;01.06.2021;Элеваторная, 15;Заречный;29;Сахар демерара коричневый;Бакалея;170;Поступление;85
236;01.06.2021;Элеваторная, 15;Заречный;29;Сахар демерара коричневый;Бакалея;19;Продажа;85
237;01.06.2021;Элеваторная, 15;Заречный;30;Сахар рафинад быстрорастворимый;Бакалея;180;Поступление;44
238;01.06.2021;Элеваторная, 15;Заречный;30;Сахар рафинад быстрорастворимый;Бакалея;74;Продажа;44
239;01.06.2021;Элеваторная, 15;Заречный;33;Мука хлебопекарная в\с;Бакалея;180;Поступление;50
240;01.06.2021;Элеваторная, 15;Заречный;33;Мука хлебопекарная в\с;Бакалея;74;Продажа;50
241;01.06.2021;Элеваторная, 15;Заречный;34;Мука блинная;Бакалея;170;Поступление;65
242;01.06.2021;Элеваторная, 15;Заречный;34;Мука блинная;Бакалея;37;Продажа;65
243;01.06.2021;Элеваторная, 15;Заречный;44;Чай черный индийский;Бакалея;180;Поступление;180
244;01.06.2021;Элеваторная, 15;Заречный;44;Чай черный индийский;Бакалея;56;Продажа;180
245;01.06.2021;Элеваторная, 15;Заречный;45;Чай зеленый ;Бакалея;180;Поступление;170
246;01.06.2021;Элеваторная, 15;Заречный;45;Чай зеленый ;Бакалея;37;Продажа;170
247;01.06.2021;Элеваторная, 15;Заречный;46;Кофе растворимый;Бакалея;180;Поступление;330
248;01.06.2021;Элеваторная, 15;Заречный;46;Кофе растворимый;Бакалея;74;Продажа;330
249;01.06.2021;Элеваторная, 15;Заречный;47;Кофе в зернах ;Бакалея;180;Поступление;370
250;01.06.2021;Элеваторная, 15;Заречный;47;Кофе в зернах ;Бакалея;23;Продажа;370
251;01.06.2021;Элеваторная, 15;Заречный;48;Кофе молотый;Бакалея;170;Поступление;180
252;01.06.2021;Элеваторная, 15;Заречный;48;Кофе молотый;Бакалея;56;Продажа;180
253;01.06.2021;Пушкинская, 8;Октябрьский;4;Кефир 3,2%;Молоко;180;Поступление;75
254;01.06.2021;Пушкинская, 8;Октябрьский;4;Кефир 3,2%;Молоко;180;Продажа;75
255;01.06.2021;Пушкинская, 8;Октябрьский;5;Кефир обезжиренный;Молоко;180;Поступление;70
256;01.06.2021;Пушкинская, 8;Октябрьский;5;Кефир обезжиренный;Молоко;180;Продажа;70
257;01.06.2021;Пушкинская, 8;Октябрьский;6;Ряженка термостатная;Молоко;170;Поступление;50
258;01.06.2021;Пушкинская, 8;Октябрьский;6;Ряженка термостатная;Молоко;180;Продажа;50
259;01.06.2021;Пушкинская, 8;Октябрьский;9;Сметана 15%;Молоко;180;Поступление;55
260;01.06.2021;Пушкинская, 8;Октябрьский;9;Сметана 15%;Молоко;145;Продажа;55
261;01.06.2021;Пушкинская, 8;Октябрьский;10;Сметана 25%;Молоко;180;Поступление;70
262;01.06.2021;Пушкинская, 8;Октябрьский;10;Сметана 25%;Молоко;150;Продажа;70
263;01.06.2021;Пушкинская, 8;Октябрьский;13;Творог 9% жирности;Молоко;180;Поступление;60
264;01.06.2021;Пушкинская, 8;Октябрьский;13;Творог 9% жирности;Молоко;120;Продажа;60
265;01.06.2021;Пушкинская, 8;Октябрьский;18;Крупа манная;Бакалея;180;Поступление;49
266;01.06.2021;Пушкинская, 8;Октябрьский;18;Крупа манная;Бакалея;80;Продажа;49
267;01.06.2021;Пушкинская, 8;Октябрьский;24;Макароны спагетти ;Бакалея;170;Поступление;50
268;01.06.2021;Пушкинская, 8;Октябрьский;24;Макароны спагетти ;Бакалея;159;Продажа;50
269;01.06.2021;Пушкинская, 8;Октябрьский;25;Макароны вермишель;Бакалея;180;Поступление;52
270;01.06.2021;Пушкинская, 8;Октябрьский;25;Макароны вермишель;Бакалея;159;Продажа;52
271;01.06.2021;Пушкинская, 8;Октябрьский;26;Макароны рожки;Бакалея;180;Поступление;47
